,book_authors,book_desc,book_edition,book_format,book_isbn,book_pages,book_rating,book_rating_count,book_review_count,book_title,book_genres,image_url,gen_1,gen_2,gen_3,gen_4
21545,Stephenie Meyer|Hüseyin Baran,"Üç şeyden emindim. Birincisi Edward bir vampirdi. İkincisi, ne kadar baskın olduğunu bilemesem de onun bu vampir yanı kanıma susamıştı. Üçüncüsü ise, koşulsuz ve geri dönülemez bir şekilde ona âşık olmuştum.Isabella Swan Washington'ın, yağmurun hiç dinmediği küçük kasabası Forks'a taşınır. Bu şimdiye kadar aldığı en sıkıcı karar gibi görünmektedir. Fakat gizemli ve çekici Edward'la tanışması hayatını heyecanlı ve tüyler ürpertici bir hâle sokar. Edward şimdiye kadar, içinde yaşadığı küçük toplulukta vampir kimliğini saklayabilmiştir. Ancak artık kimse güvende değildir, özellikle Edward'ın en çok değer verdiği insan olan Isabella.. İki sevgili kendilerini tutku ve tehlike arasında dengede duran bir bıçağın en keskin noktasında bulur.Alacakaranlık içgüdülerimize meydan okumakla tutkularımızı tatmin etme boyun isteği arasındaki çatışmayı sorgulayan etkileyici bir kitap.Stephenie Meyer, 2005 yılının geleceği en parlak yeni yazarıdır.",,Paperback,9.78994E+12,400,3.58,4283330,98009,Alacakaranlık,Young Adult|Fantasy|Romance|Paranormal|Vampires|Fiction|Fantasy|Paranormal,https://images.gr-assets.com/books/1315224920l/8391758.jpg,Young Adult,Fantasy,Romance,Paranormal
26189,Stephenie Meyer,"About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.In the first book of the Twilight Saga, internationally bestselling author Stephenie Meyer introduces Bella Swan and Edward Cullen, a pair of star-crossed lovers whose forbidden relationship ripens against the backdrop of small-town suspicion and a mysterious coven of vampires. This is a love story with bite.",First Edition,Hardcover,9.78032E+12,498,3.58,4283294,98009,Twilight,Young Adult|Fantasy|Romance|Paranormal|Vampires|Fiction|Fantasy|Paranormal,https://images.gr-assets.com/books/1318007961l/762743.jpg,Young Adult,Fantasy,Romance,Paranormal
4,Stephenie Meyer,"About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.In the first book of the Twilight Saga, internationally bestselling author Stephenie Meyer introduces Bella Swan and Edward Cullen, a pair of star-crossed lovers whose forbidden relationship ripens against the backdrop of small-town suspicion and a mysterious coven of vampires. This is a love story with bite.",,Paperback,9.78032E+12,498,3.58,4281268,97991,Twilight,Young Adult|Fantasy|Romance|Paranormal|Vampires|Fiction|Fantasy|Paranormal,https://images.gr-assets.com/books/1361039443l/41865.jpg,Young Adult,Fantasy,Romance,Paranormal
40415,Harper Lee,Spaar de spotvogel is een onvergetelijke roman over onrecht in het diepe zuiden van de Verenigde Staten. Het jonge meisje Scout Finch en haar oudere broer Jem worden zich bewust van de grove ongelijkheden die er heersen tussen blank en zwart. Ze krijgen er direct mee te maken wanneer hun vader - de advocaat Atticus - alles riskeert om een zwarte man te verdedigen die ten onrechte wordt beschuldigd van de verkrachting van een blank meisje.Spaar de spotvogel verscheen voor het eerst in 1960 en geldt als een van de grootste klassiekers uit de Amerikaanse literatuur van de twintigste eeuw. Het werd bekroond met de Pulitzer Prize en is succesvol verfilmd. Spaar de spotvogel is in meer dan veertig talen vertaald en er zijn wereldwijd meer dan veertig miljoen exemplaren van het boek verkocht.,,Hardcover,9.78902E+12,366,4.27,3748104,79512,Spaar de spotvogel,Classics|Fiction|Historical|Historical Fiction|Academic|School|Literature|Young Adult|Academic|Read For School|Historical|Novels|Young Adult|High School,https://images.gr-assets.com/books/1451247460l/28367324.jpg,Classics,Fiction,Historical,Historical Fiction
34674,Harper Lee,"'Shoot all the Bluejays you want, if you can hit 'em, but remember it's a sin to kill a Mockingbird.' Atticus Finch gives this advice to his children as he defends the real mockingbird of this classic novel - a black man charged with attacking a white girl. Through the eyes of Scout and Jem Finch, Lee explores the issues of race and class in the Deep South of the 1930s with compassion and humor. She also creates one of the great heroes of literature in their father, whose lone struggle for justice pricks the conscience of a town steeped in prejudice and hypocrisy.",,Paperback,9.7801E+12,307,4.27,3747826,79508,To Kill a Mockingbird,Classics|Fiction|Historical|Historical Fiction|Academic|School,https://images.gr-assets.com/books/1459551043l/29757622.jpg,Classics,Fiction,Historical,Historical Fiction
26439,Harper Lee|توفيق الأسدي,"تمتعت بأني آسفة وجلست إلى مكاني وأنا أفكر في جريمتي. أنا لم أتعلم القراءة عمداً، ولكني نوعاً ما كنت أتخبط متعثرة وعلى نحو محظور في الجرائد اليومية. هل تعلمت يا ترى في الساعات الطويلة في الكنيسة؟ لم أستطع أن أتذكر أني كنت يوماً غير قادرة على قراءة التراتيل. والآن بما أني كنت مضطرة إلى التفكير بالموضوع، فإني أعتقد أن القراءة أمر أتاني هكذا، تعلمتها كما تعلّمت أن أزرر قاعدة سروالي الداخلي الشتوي الطويل دون أن أنظر إلى الخف، أو أن أربط سير حذائي صانعة منه عقدة ذات قوسين. لا أستطيع أن أتذكر متى بدأت الأسطر التي كانت فوق أصبع أتيكوس المتحرك تنفصل إلى كلمات، ولكني كنت أحدق فيها كل الأمسيات التي في ذاكرتي، وأصغي إلى الأخبار اليومية: مشاريع القوانين التي ستتحول إلى قوانين، ويوميات ""لورنزو داو"". وأي شيء آخر يحدث أن يكون أتيكوس يطالعه حين أتسلل إلى حضنه كل ليلة. وحتى الآن؛ أي حين أحسست أني قد أخسر القراءة، لم أشعر أني أحببتها في يوم من الأيام، فالمرء لا يحب التنفس مثلاً.",1st Edition ,Paperback,,446,4.27,3747354,79494,لا تقتل عصفوراً ساخراً,Classics|Fiction|Historical|Historical Fiction|Academic|School,https://images.gr-assets.com/books/1458639132l/29587499.jpg,Classics,Fiction,Historical,Historical Fiction
31368,Harper Lee,"An alternate cover edition can be found here.The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",,Mass Market Paperback,9.78045E+12,376,4.27,3747334,79493,To Kill a Mockingbird,Classics|Fiction|Historical|Historical Fiction|Academic|School,https://images.gr-assets.com/books/1435715744l/25587975.jpg,Classics,Fiction,Historical,Historical Fiction
26051,Harper Lee,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",,Kindle Edition,,324,4.27,3747299,79492,To Kill a Mockingbird,Classics|Fiction|Historical|Historical Fiction|Academic|School,https://images.gr-assets.com/books/1437239655l/22024583.jpg,Classics,Fiction,Historical,Historical Fiction
21535,Harper Lee,"'Shoot all the bluejays you want, if you can hit 'em, but remember it's a sin to kill a mockingbird.'A lawyer's advice to his children as he defends the real mockingbird of Harper Lee's classic novel - a black man charged with the rape of a white girl. Through the young eyes of Scout and Jem Finch, Harper Lee explores with exuberant humour the irrationality of adult attitudes to race and class in the Deep South of the thirties. The conscience of a town steeped in prejudice, violence and hypocrisy is pricked by the stamina of one man's struggle for justice. But the weight of history will only tolerate so much.To Kill a Mockingbird is a coming-of-age story, an anti-racist novel, a historical drama of the Great Depression and a sublime example of the Southern writing tradition.",,Kindle Edition,,385,4.27,3747228,79492,To Kill a Mockingbird,Classics|Fiction|Historical|Historical Fiction|Academic|School,https://images.gr-assets.com/books/1427698656l/22138225.jpg,Classics,Fiction,Historical,Historical Fiction
19635,Harper Lee,"An unforgettable story of the violent, intolerant, eccentric, humorous and prejudiced Deep South seen through the eyes of children.With warmth and understanding Harper Lee brilliantly recreates not only her characters but a whole town and its way of life.Scout and Jem Finch lose their innocence when their lawyer father defends a Negro charged with the rape of a white girl.The lawyer is the town's conscience, but conscience makes more than cowards...",,Paperback,9.78033E+12,285,4.27,3747139,79489,To Kill a Mockingbird,Classics|Fiction|Historical|Historical Fiction|Academic|School,https://images.gr-assets.com/books/1359892604l/2262747.jpg,Classics,Fiction,Historical,Historical Fiction
11960,Harper Lee,"One of a series of fiction titles for schools. Scout, the keen-eyed narrator, and her brother Jem interrupt their games to champion their lawyer father when, in a hostile, racist town in the American South, he battles to defend Tom, who is black and accused of murder.",New Windmill,Hardcover,9.78044E+12,287,4.27,3746774,79478,To Kill a Mockingbird,Classics|Fiction|Historical|Historical Fiction|Academic|School,https://images.gr-assets.com/books/1387737613l/87784.jpg,Classics,Fiction,Historical,Historical Fiction
10222,Harper Lee|Amalia D'Agostino Schanzer,"In una cittadina del ""profondo"" Sud degli Stati Uniti l'onesto avvocato Atticus Finch è incaricato della difesa d'ufficio di un ""negro"" accusato di violenza carnale; riuscirà a dimostrarne l'innocenza, ma l'uomo sarà ugualmente condannato a morte. La vicenda, che è solo l'episodio centrale del romanzo, è raccontata dalla piccola Scout, la figlia di Atticus, un Huckleberry in gonnella, che scandalizza le signore con un linguaggio non proprio ortodosso, testimone e protagonista di fatti che nella loro atrocità e violenza non riescono mai a essere più grandi di lei. Nel suo raccontare lieve e veloce, ironico e pietoso, rivive il mondo dell'infanzia che è un po' di tutti noi, con i suoi miti, le sue emozioni, le sue scoperte, in pagine di grande rigore stilistico e condotte con bravura eccezionale.",Universale Economica,Paperback,9.78881E+12,304,4.27,3746644,79475,Il buio oltre la siepe,Classics|Fiction|Historical|Historical Fiction|Academic|School,https://images.gr-assets.com/books/1459004453l/18190276.jpg,Classics,Fiction,Historical,Historical Fiction
10813,Harper Lee,"Harper Lee's Pulitzer Prize-winning masterwork of honor and injustice in the deep South ― and the heroism of one man in the face of blind and violent hatred.One of the best-loved stories of all time, To Kill a Mockingbird has been translated into more than forty languages, sold more than thirty million copies worldwide, served as the basis of an enormously popular motion picture, and was voted one of the best novels of the twentieth century by librarians across the country. A gripping, heart-wrenching, and wholly remarkable tale of coming-of-age in a South poisoned by virulent prejudice, it views a world of great beauty and savage inequities through the eyes of a young girl, as her father ― a crusading local lawyer ― risks everything to defend a black man unjustly accused of a terrible crime.",,Mass Market Paperback,9.7801E+12,309,4.27,3746569,79475,To Kill a Mockingbird,Classics|Fiction|Historical|Historical Fiction|Academic|School,https://images.gr-assets.com/books/1349070358l/816815.jpg,Classics,Fiction,Historical,Historical Fiction
2,Harper Lee,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",50th Anniversary,Paperback,9.78006E+12,324,4.27,3745197,79450,To Kill a Mockingbird,Classics|Fiction|Historical|Historical Fiction|Academic|School,https://images.gr-assets.com/books/1361975680l/2657.jpg,Classics,Fiction,Historical,Historical Fiction
44351,F. Scott Fitzgerald|Jacques Tournier,"Alternate Cover Edition ISBN 2253007900 (ISBN13: 9782253007906)New York, années folles… Dans sa somptueuse demeure de Long Island, Jay Gatsby organise de fastueuses réceptions où les invités se pressent en foule. Mais leur hôte ne cherche à éblouir qu’une seule personne : Daisy Buchanan. Elle est élégante, riche, séduisante, mais elle est la femme d’un héritier millionnaire…Avec ce texte devenu un classique, Fitzgerald, sur un air de jazz et une coupe de champagne à la main, met à nu le Rêve américain et écrit l’un des plus beaux romans du XXe siècle, ici présenté dans la traduction de référence, par Jacques Tournier.",,Mass Market Paperback,,224,3.9,3144119,57024,Gatsby le Magnifique,Classics|Fiction|Academic|School|Literature,https://images.gr-assets.com/books/1182945536l/1353820.jpg,Classics,Fiction,Academic,School
39747,F. Scott Fitzgerald|Marja Niiniluoto,"Jay Gatsby on riehakkaiden juhliensa yksinäinen ja salaperäinen isäntä. Rikkautensa hän on hankkinut omin neuvoin saavuttaakseen unelman, joka nuorena ja köyhänä oli hänen tavoittamattomissaan. Tuo unelma on kaunis ja rikas Daisy, joka elää läheisessä huvilassa - toisen miehen vaimona. Kohtalo kuitenkin puuttuu peliin.",,Paperback,,220,3.9,3144032,57013,Kultahattu,Classics|Fiction|Academic|School|Literature,https://images.gr-assets.com/books/1369669164l/17982283.jpg,Classics,Fiction,Academic,School
35599,F. Scott Fitzgerald,"Here is a novel, glamorous, ironical, compassionate – a marvelous fusion into unity of the curious incongruities of the life of the period – which reveals a hero like no other – one who could live at no other time and in no other place. But he will live as a character, we surmise, as long as the memory of any reader lasts.It is the story of this Jay Gatsby who came so mysteriously to West Egg, of his sumptuous entertainments, and of his love for Daisy Buchanan – a story that ranges from pure lyrical beauty to sheer brutal realism, and is infused with a sense of the strangeness of human circumstance in a heedless universe.It is a magical, living book, blended of irony, romance, and mysticism.--back cover (first edition)",,Paperback,9.78813E+12,142,3.9,3143884,57009,The Great Gatsby,Classics|Fiction|Academic|School|Literature,https://images.gr-assets.com/books/1394397999l/21187110.jpg,Classics,Fiction,Academic,School
34632,F. Scott Fitzgerald,"In 1922, F. Scott Fitzgerald announced his decision to write ""something new--something extraordinary and beautiful and simple + intricately patterned."" That extraordinary, beautiful, intricately patterned, and above all, simple novel became The Great Gatsby, arguably Fitzgerald's finest work and certainly the book for which he is best known. A portrait of the Jazz Age in all of its decadence and excess, Gatsby captured the spirit of the author's generation and earned itself a permanent place in American mythology. Self-made, self-invented millionaire Jay Gatsby embodies some of Fitzgerald's--and his country's--most abiding obsessions: money, ambition, greed, and the promise of new beginnings. ""Gatsby believed in the green light, the orgiastic future that year by year recedes before us. It eluded us then, but that's no matter--tomorrow we will run faster, stretch out our arms farther.... And one fine morning--"" Gatsby's rise to glory and eventual fall from grace becomes a kind of cautionary tale about the American Dream.It's also a love story, of sorts, the narrative of Gatsby's quixotic passion for Daisy Buchanan. The pair meet five years before the novel begins, when Daisy is a legendary young Louisville beauty and Gatsby an impoverished officer. They fall in love, but while Gatsby serves overseas, Daisy marries the brutal, bullying, but extremely rich Tom Buchanan. After the war, Gatsby devotes himself blindly to the pursuit of wealth by whatever means--and to the pursuit of Daisy, which amounts to the same thing. ""Her voice is full of money,"" Gatsby says admiringly, in one of the novel's more famous descriptions. His millions made, Gatsby buys a mansion across Long Island Sound from Daisy's patrician East Egg address, throws lavish parties, and waits for her to appear. When she does, events unfold with all the tragic inevitability of a Greek drama, with detached, cynical neighbor Nick Carraway acting as chorus throughout. Spare, elegantly plotted, and written in crystalline prose, The Great Gatsby is as perfectly satisfying as the best kind of poem.",,Paperback,9.78068E+12,182,3.9,3143851,57009,The Great Gatsby,Classics|Fiction|Academic|School|Literature|Historical|Historical Fiction|Romance|Novels|Academic|Read For School|Young Adult|High School|Literature|American,https://images.gr-assets.com/books/1325225271l/210090.jpg,Classics,Fiction,Academic,School
32395,F. Scott Fitzgerald|Ümit Özgür Hoşafçı|Özgür Umut Hoşafçı,"Yirminci yüzyılın en büyük yazarlarından sayılan F. Scott Fitzgerald, bu ölümsüz eserinde bizleri Birinci Dünya Savaşı sonrası Amerika'da para, lüks ve gücün egemen olduğu on yıllık şaşaalı döneme, kendi tabiriyle 'Caz Çağı'na doğru yolculuğa çağırıyor. Gatsby, sevdiği kadın uğruna gösteriş ve sefahate bulanmış Amerikan rüyasında kendi naif hayalini diri tutmaya çabalayan iflah olmaz bir romantikten başkası değil. Çoğumuz için belki de bildik olan bu hikaye yazarın erişilmesi güç ustalığı, dilinin sadeliği ve gücü ile birleşince on yıllara meydan okuyan, insana ve aşka dair buruk bir masalın satırlarında gezinirken buluyoruz kendimizi.",,Paperback,,228,3.9,3143766,57006,Muhteşem Gatsby,Classics|Fiction|Academic|School|Literature|Historical|Historical Fiction|Romance|Novels|Academic|Read For School|Young Adult|High School|Literature|American,https://images.gr-assets.com/books/1332316271l/13554925.jpg,Classics,Fiction,Academic,School
