year,state,total_electoral_votes,candidate,electoral_votes
1984,Illinois,24,"Ronald Reagan,  of  California",24
1984,Indiana,12,"Ronald Reagan,  of  California",12
1984,Iowa,8,"Ronald Reagan,  of  California",8
1984,Kansas,7,"Ronald Reagan,  of  California",7
1984,Kentucky,9,"Ronald Reagan,  of  California",9
1984,Louisiana,10,"Ronald Reagan,  of  California",10
1984,Maine,4,"Ronald Reagan,  of  California",4
1984,Maryland,10,"Ronald Reagan,  of  California",10
1984,Massachusetts,13,"Ronald Reagan,  of  California",13
1984,Michigan,20,"Ronald Reagan,  of  California",20
1984,Minnesota,10,"Ronald Reagan,  of  California",0
1984,Mississippi,7,"Ronald Reagan,  of  California",7
1984,Missouri,11,"Ronald Reagan,  of  California",11
1984,Montana,4,"Ronald Reagan,  of  California",4
1984,Nebraska,5,"Ronald Reagan,  of  California",5
1984,Nevada,4,"Ronald Reagan,  of  California",4
1984,New Hampshire,4,"Ronald Reagan,  of  California",4
1984,New Jersey,16,"Ronald Reagan,  of  California",16
1984,New Mexico,5,"Ronald Reagan,  of  California",5
1984,New York,36,"Ronald Reagan,  of  California",36
1984,North Carolina,13,"Ronald Reagan,  of  California",13
1984,North Dakota,3,"Ronald Reagan,  of  California",3
1984,Ohio,23,"Ronald Reagan,  of  California",23
1984,Oklahoma,8,"Ronald Reagan,  of  California",8
1984,Oregon,7,"Ronald Reagan,  of  California",7
1984,Pennsylvania,25,"Ronald Reagan,  of  California",25
1984,Rhode Island,4,"Ronald Reagan,  of  California",4
1984,South Carolina,8,"Ronald Reagan,  of  California",8
1984,South Dakota,3,"Ronald Reagan,  of  California",3
1984,Tennessee,11,"Ronald Reagan,  of  California",11
1984,Texas,29,"Ronald Reagan,  of  California",29
1984,Utah,5,"Ronald Reagan,  of  California",5
1984,Vermont,3,"Ronald Reagan,  of  California",3
1984,Virginia,12,"Ronald Reagan,  of  California",12
1984,Washington,10,"Ronald Reagan,  of  California",10
1984,West Virginia,6,"Ronald Reagan,  of  California",6
1984,Wisconsin,11,"Ronald Reagan,  of  California",11
1984,Wyoming,3,"Ronald Reagan,  of  California",3
1984,Alabama,9,"Walter F. Mondale,  of  Minnesota",0
1984,Alaska,3,"Walter F. Mondale,  of  Minnesota",0
1984,Arizona,7,"Walter F. Mondale,  of  Minnesota",0
1984,Arkansas,6,"Walter F. Mondale,  of  Minnesota",0
1984,California,47,"Walter F. Mondale,  of  Minnesota",0
1984,Colorado,8,"Walter F. Mondale,  of  Minnesota",0
1984,Connecticut,8,"Walter F. Mondale,  of  Minnesota",0
1984,Delaware,3,"Walter F. Mondale,  of  Minnesota",0
1984,District of Columbia,3,"Walter F. Mondale,  of  Minnesota",3
1984,Florida,21,"Walter F. Mondale,  of  Minnesota",0
1984,Georgia,12,"Walter F. Mondale,  of  Minnesota",0
1984,Hawaii,4,"Walter F. Mondale,  of  Minnesota",0
1984,Idaho,4,"Walter F. Mondale,  of  Minnesota",0
1984,Illinois,24,"Walter F. Mondale,  of  Minnesota",0
1984,Indiana,12,"Walter F. Mondale,  of  Minnesota",0
1984,Iowa,8,"Walter F. Mondale,  of  Minnesota",0
1984,Kansas,7,"Walter F. Mondale,  of  Minnesota",0
1984,Kentucky,9,"Walter F. Mondale,  of  Minnesota",0
1984,Louisiana,10,"Walter F. Mondale,  of  Minnesota",0
1984,Maine,4,"Walter F. Mondale,  of  Minnesota",0
1984,Maryland,10,"Walter F. Mondale,  of  Minnesota",0
1984,Massachusetts,13,"Walter F. Mondale,  of  Minnesota",0
1984,Michigan,20,"Walter F. Mondale,  of  Minnesota",0
1984,Minnesota,10,"Walter F. Mondale,  of  Minnesota",10
1984,Mississippi,7,"Walter F. Mondale,  of  Minnesota",0
1984,Missouri,11,"Walter F. Mondale,  of  Minnesota",0
1984,Montana,4,"Walter F. Mondale,  of  Minnesota",0
1984,Nebraska,5,"Walter F. Mondale,  of  Minnesota",0
1984,Nevada,4,"Walter F. Mondale,  of  Minnesota",0
1984,New Hampshire,4,"Walter F. Mondale,  of  Minnesota",0
1984,New Jersey,16,"Walter F. Mondale,  of  Minnesota",0
1984,New Mexico,5,"Walter F. Mondale,  of  Minnesota",0
1984,New York,36,"Walter F. Mondale,  of  Minnesota",0
1984,North Carolina,13,"Walter F. Mondale,  of  Minnesota",0
1984,North Dakota,3,"Walter F. Mondale,  of  Minnesota",0
1984,Ohio,23,"Walter F. Mondale,  of  Minnesota",0
1984,Oklahoma,8,"Walter F. Mondale,  of  Minnesota",0
1984,Oregon,7,"Walter F. Mondale,  of  Minnesota",0
1984,Pennsylvania,25,"Walter F. Mondale,  of  Minnesota",0
1984,Rhode Island,4,"Walter F. Mondale,  of  Minnesota",0
1984,South Carolina,8,"Walter F. Mondale,  of  Minnesota",0
1984,South Dakota,3,"Walter F. Mondale,  of  Minnesota",0
1984,Tennessee,11,"Walter F. Mondale,  of  Minnesota",0
1984,Texas,29,"Walter F. Mondale,  of  Minnesota",0
1984,Utah,5,"Walter F. Mondale,  of  Minnesota",0
1984,Vermont,3,"Walter F. Mondale,  of  Minnesota",0
1984,Virginia,12,"Walter F. Mondale,  of  Minnesota",0
1984,Washington,10,"Walter F. Mondale,  of  Minnesota",0
1984,West Virginia,6,"Walter F. Mondale,  of  Minnesota",0
1984,Wisconsin,11,"Walter F. Mondale,  of  Minnesota",0
1984,Wyoming,3,"Walter F. Mondale,  of  Minnesota",0
1988,Alabama,9,"George Bush,  of Texas",9
1988,Alaska,3,"George Bush,  of Texas",3
1988,Arizona,7,"George Bush,  of Texas",7
1988,Arkansas,6,"George Bush,  of Texas",6
1988,California,47,"George Bush,  of Texas",47
1988,Colorado,8,"George Bush,  of Texas",8
1988,Connecticut,8,"George Bush,  of Texas",8
1988,Delaware,3,"George Bush,  of Texas",3
1988,District of Columbia,3,"George Bush,  of Texas",0
1988,Florida,21,"George Bush,  of Texas",21
1988,Georgia,12,"George Bush,  of Texas",12
1988,Hawaii,4,"George Bush,  of Texas",0
1988,Idaho,4,"George Bush,  of Texas",4
1988,Illinois,24,"George Bush,  of Texas",24
1988,Indiana,12,"George Bush,  of Texas",12
1988,Iowa,8,"George Bush,  of Texas",0
1988,Kansas,7,"George Bush,  of Texas",7
1988,Kentucky,9,"George Bush,  of Texas",9
1988,Louisiana,10,"George Bush,  of Texas",10
1988,Maine,4,"George Bush,  of Texas",4
1988,Maryland,10,"George Bush,  of Texas",10
1988,Massachusetts,13,"George Bush,  of Texas",0
1988,Michigan,20,"George Bush,  of Texas",20
1988,Minnesota,10,"George Bush,  of Texas",0
1988,Mississippi,7,"George Bush,  of Texas",7
1988,Missouri,11,"George Bush,  of Texas",11
1988,Montana,4,"George Bush,  of Texas",4
1988,Nebraska,5,"George Bush,  of Texas",5
1988,Nevada,4,"George Bush,  of Texas",4
1988,New Hampshire,4,"George Bush,  of Texas",4
1988,New Jersey,16,"George Bush,  of Texas",16
1988,New Mexico,5,"George Bush,  of Texas",5
1988,New York,36,"George Bush,  of Texas",0
1988,North Carolina,13,"George Bush,  of Texas",13
1988,North Dakota,3,"George Bush,  of Texas",3
1988,Ohio,23,"George Bush,  of Texas",23
1988,Oklahoma,8,"George Bush,  of Texas",8
1988,Oregon,7,"George Bush,  of Texas",0
1988,Pennsylvania,25,"George Bush,  of Texas",25
1988,Rhode Island,4,"George Bush,  of Texas",0
1988,South Carolina,8,"George Bush,  of Texas",8
1988,South Dakota,3,"George Bush,  of Texas",3
1988,Tennessee,11,"George Bush,  of Texas",11
1988,Texas,29,"George Bush,  of Texas",29
1988,Utah,5,"George Bush,  of Texas",5
1988,Vermont,3,"George Bush,  of Texas",3
1988,Virginia,12,"George Bush,  of Texas",12
1988,Washington,10,"George Bush,  of Texas",0
1988,West Virginia,6,"George Bush,  of Texas",0
1988,Wisconsin,11,"George Bush,  of Texas",0
1988,Wyoming,3,"George Bush,  of Texas",3
1988,Alabama,9,"Michael S. Dukakis,  of Massachusetts",0
1988,Alaska,3,"Michael S. Dukakis,  of Massachusetts",0
1988,Arizona,7,"Michael S. Dukakis,  of Massachusetts",0
1988,Arkansas,6,"Michael S. Dukakis,  of Massachusetts",0
1988,California,47,"Michael S. Dukakis,  of Massachusetts",0
1988,Colorado,8,"Michael S. Dukakis,  of Massachusetts",0
1988,Connecticut,8,"Michael S. Dukakis,  of Massachusetts",0
1988,Delaware,3,"Michael S. Dukakis,  of Massachusetts",0
1988,District of Columbia,3,"Michael S. Dukakis,  of Massachusetts",3
1988,Florida,21,"Michael S. Dukakis,  of Massachusetts",0
1988,Georgia,12,"Michael S. Dukakis,  of Massachusetts",0
1988,Hawaii,4,"Michael S. Dukakis,  of Massachusetts",4
1988,Idaho,4,"Michael S. Dukakis,  of Massachusetts",0
1988,Illinois,24,"Michael S. Dukakis,  of Massachusetts",0
1988,Indiana,12,"Michael S. Dukakis,  of Massachusetts",0
1988,Iowa,8,"Michael S. Dukakis,  of Massachusetts",8
1988,Kansas,7,"Michael S. Dukakis,  of Massachusetts",0
1988,Kentucky,9,"Michael S. Dukakis,  of Massachusetts",0
1988,Louisiana,10,"Michael S. Dukakis,  of Massachusetts",0
1988,Maine,4,"Michael S. Dukakis,  of Massachusetts",0
1988,Maryland,10,"Michael S. Dukakis,  of Massachusetts",0
1988,Massachusetts,13,"Michael S. Dukakis,  of Massachusetts",13
1988,Michigan,20,"Michael S. Dukakis,  of Massachusetts",0
1988,Minnesota,10,"Michael S. Dukakis,  of Massachusetts",10
1988,Mississippi,7,"Michael S. Dukakis,  of Massachusetts",0
1988,Missouri,11,"Michael S. Dukakis,  of Massachusetts",0
1988,Montana,4,"Michael S. Dukakis,  of Massachusetts",0
1988,Nebraska,5,"Michael S. Dukakis,  of Massachusetts",0
1988,Nevada,4,"Michael S. Dukakis,  of Massachusetts",0
1988,New Hampshire,4,"Michael S. Dukakis,  of Massachusetts",0
1988,New Jersey,16,"Michael S. Dukakis,  of Massachusetts",0
1988,New Mexico,5,"Michael S. Dukakis,  of Massachusetts",0
1988,New York,36,"Michael S. Dukakis,  of Massachusetts",36
1988,North Carolina,13,"Michael S. Dukakis,  of Massachusetts",0
1988,North Dakota,3,"Michael S. Dukakis,  of Massachusetts",0
1988,Ohio,23,"Michael S. Dukakis,  of Massachusetts",0
1988,Oklahoma,8,"Michael S. Dukakis,  of Massachusetts",0
1988,Oregon,7,"Michael S. Dukakis,  of Massachusetts",7
1988,Pennsylvania,25,"Michael S. Dukakis,  of Massachusetts",0
1988,Rhode Island,4,"Michael S. Dukakis,  of Massachusetts",4
1988,South Carolina,8,"Michael S. Dukakis,  of Massachusetts",0
1988,South Dakota,3,"Michael S. Dukakis,  of Massachusetts",0
1988,Tennessee,11,"Michael S. Dukakis,  of Massachusetts",0
1988,Texas,29,"Michael S. Dukakis,  of Massachusetts",0
1988,Utah,5,"Michael S. Dukakis,  of Massachusetts",0
1988,Vermont,3,"Michael S. Dukakis,  of Massachusetts",0
1988,Virginia,12,"Michael S. Dukakis,  of Massachusetts",0
1988,Washington,10,"Michael S. Dukakis,  of Massachusetts",10
1988,West Virginia,6,"Michael S. Dukakis,  of Massachusetts",5
1988,Wisconsin,11,"Michael S. Dukakis,  of Massachusetts",11
1988,Wyoming,3,"Michael S. Dukakis,  of Massachusetts",0
1988,Alabama,9,"Lloyd Bentsen,  of Texas",0
1988,Alaska,3,"Lloyd Bentsen,  of Texas",0
1988,Arizona,7,"Lloyd Bentsen,  of Texas",0
1988,Arkansas,6,"Lloyd Bentsen,  of Texas",0
1988,California,47,"Lloyd Bentsen,  of Texas",0
1988,Colorado,8,"Lloyd Bentsen,  of Texas",0
1988,Connecticut,8,"Lloyd Bentsen,  of Texas",0
1988,Delaware,3,"Lloyd Bentsen,  of Texas",0
1988,District of Columbia,3,"Lloyd Bentsen,  of Texas",0
1988,Florida,21,"Lloyd Bentsen,  of Texas",0
1988,Georgia,12,"Lloyd Bentsen,  of Texas",0
1988,Hawaii,4,"Lloyd Bentsen,  of Texas",0
1988,Idaho,4,"Lloyd Bentsen,  of Texas",0
1988,Illinois,24,"Lloyd Bentsen,  of Texas",0
1988,Indiana,12,"Lloyd Bentsen,  of Texas",0
