state,year,pop
West Virginia,1800,78592.0
Wisconsin,1800,nan
Wyoming,1800,nan
Alabama,1804,4368.4
Alaska,1804,nan
Arizona,1804,nan
Arkansas,1804,nan
California,1804,nan
Colorado,1804,nan
Connecticut,1804,255418.0
Delaware,1804,67633.4
District of Columbia,1804,11074.8
Florida,1804,nan
Georgia,1804,198174.4
Hawaii,1804,nan
Idaho,1804,nan
Illinois,1804,6387.6
Indiana,1804,11387.2
Iowa,1804,nan
Kansas,1804,nan
Kentucky,1804,295179.8
Louisiana,1804,nan
Maine,1804,182513.4
Maryland,1804,357147.2
Massachusetts,1804,442523.0
Michigan,1804,4159.0
Minnesota,1804,nan
Mississippi,1804,17082.4
Missouri,1804,nan
Montana,1804,nan
Nebraska,1804,nan
Nevada,1804,nan
New Hampshire,1804,196058.8
New Jersey,1804,224911.4
New Mexico,1804,nan
New York,1804,735249.6
North Carolina,1804,509472.2
North Dakota,1804,nan
Ohio,1804,117599.4
Oklahoma,1804,nan
Oregon,1804,nan
Pennsylvania,1804,685563.4
Rhode Island,1804,72245.6
South Carolina,1804,373400.6
South Dakota,1804,nan
Tennessee,1804,168052.0
Texas,1804,nan
Utah,1804,nan
Vermont,1804,179764.2
Virginia,1804,835607.4
Washington,1804,nan
West Virginia,1804,89342.8
Wisconsin,1804,nan
Wyoming,1804,nan
Alabama,1808,7486.8
Alaska,1808,nan
Arizona,1808,nan
Arkansas,1808,nan
California,1808,nan
Colorado,1808,nan
Connecticut,1808,259834.0
Delaware,1808,70993.8
District of Columbia,1808,14005.6
Florida,1808,nan
Georgia,1808,233662.8
Hawaii,1808,nan
Idaho,1808,nan
Illinois,1808,10317.2
Indiana,1808,20142.4
Iowa,1808,nan
Kansas,1808,nan
Kentucky,1808,369400.6
Louisiana,1808,nan
Maine,1808,213307.8
Maryland,1808,372746.4
Massachusetts,1808,462201.0
Michigan,1808,4561.0
Minnesota,1808,nan
Mississippi,1808,26564.8
Missouri,1808,nan
Montana,1808,nan
Nebraska,1808,nan
Nevada,1808,nan
New Hampshire,1808,208259.6
New Jersey,1808,238673.8
New Mexico,1808,nan
New York,1808,884449.2
North Carolina,1808,540841.4
North Dakota,1808,nan
Ohio,1808,193039.8
Oklahoma,1808,nan
Oregon,1808,nan
Pennsylvania,1808,768581.8
Rhode Island,1808,75369.2
South Carolina,1808,401210.2
South Dakota,1808,nan
Tennessee,1808,230502.0
Texas,1808,nan
Utah,1808,nan
Vermont,1808,205063.4
Virginia,1808,863657.8
Washington,1808,nan
West Virginia,1808,100093.6
Wisconsin,1808,nan
Wyoming,1808,nan
Alabama,1812,32817.0
Alaska,1812,nan
Arizona,1812,nan
Arkansas,1812,3704.2
California,1812,nan
Colorado,1812,nan
Connecticut,1812,264674.0
Delaware,1812,72689.0
District of Columbia,1812,17044.0
Florida,1812,nan
Georgia,1812,269323.4
Hawaii,1812,nan
Idaho,1812,nan
Illinois,1812,20867.8
Indiana,1812,49051.6
Iowa,1812,nan
Kansas,1812,nan
Kentucky,1812,438072.2
Louisiana,1812,91926.2
Maine,1812,242631.0
Maryland,1812,385906.8
Massachusetts,1812,482289.4
Michigan,1812,5300.0
Minnesota,1812,nan
Mississippi,1812,40134.4
Missouri,1812,29143.6
Montana,1812,nan
Nebraska,1812,nan
Nevada,1812,nan
New Hampshire,1812,220320.2
New Jersey,1812,251959.0
New Mexico,1812,nan
New York,1812,1041801.6
North Carolina,1812,572986.6
North Dakota,1812,nan
Ohio,1812,300894.8
Oklahoma,1812,nan
Oregon,1812,nan
Pennsylvania,1812,857964.4
Rhode Island,1812,78156.6
South Carolina,1812,432640.2
South Dakota,1812,nan
Tennessee,1812,293944.2
Texas,1812,nan
Utah,1812,nan
Vermont,1812,221323.2
Virginia,1812,889798.6
Washington,1812,nan
West Virginia,1812,111736.8
Wisconsin,1812,nan
Wyoming,1812,nan
Alabama,1816,80359.0
Alaska,1816,nan
Arizona,1816,nan
Arkansas,1816,8988.599999999999
California,1816,nan
Colorado,1816,nan
Connecticut,1816,269938.0
Delaware,1816,72719.0
District of Columbia,1816,20190.0
Florida,1816,nan
Georgia,1816,305156.2
Hawaii,1816,nan
Idaho,1816,nan
Illinois,1816,38039.399999999994
Indiana,1816,98114.79999999999
Iowa,1816,nan
Kansas,1816,nan
Kentucky,1816,501194.6
Louisiana,1816,122666.6
Maine,1816,270483.0
Maryland,1816,396628.4
Massachusetts,1816,502788.2
Michigan,1816,6376.0
Minnesota,1816,nan
Mississippi,1816,57791.2
Missouri,1816,47864.8
Montana,1816,nan
Nebraska,1816,nan
Nevada,1816,nan
New Hampshire,1816,232240.6
New Jersey,1816,264767.0
New Mexico,1816,nan
New York,1816,1207306.8
North Carolina,1816,605907.8
North Dakota,1816,nan
Ohio,1816,441164.4
Oklahoma,1816,nan
Oregon,1816,nan
Pennsylvania,1816,953711.2
Rhode Island,1816,80607.8
South Carolina,1816,467690.6
South Dakota,1816,nan
Tennessee,1816,358378.6
Texas,1816,nan
Utah,1816,nan
Vermont,1816,228543.6
Virginia,1816,914029.8
Washington,1816,nan
West Virginia,1816,124272.4
Wisconsin,1816,nan
Wyoming,1816,nan
Alabama,1820,127901.0
Alaska,1820,nan
Arizona,1820,nan
Arkansas,1820,14273.0
California,1820,nan
Colorado,1820,nan
Connecticut,1820,275202.0
Delaware,1820,72749.0
District of Columbia,1820,23336.0
Florida,1820,nan
Georgia,1820,340989.0
Hawaii,1820,nan
Idaho,1820,nan
Illinois,1820,55211.0
Indiana,1820,147178.0
Iowa,1820,nan
Kansas,1820,nan
Kentucky,1820,564317.0
Louisiana,1820,153407.0
Maine,1820,298335.0
Maryland,1820,407350.0
Massachusetts,1820,523287.0
Michigan,1820,7452.0
Minnesota,1820,nan
Mississippi,1820,75448.0
Missouri,1820,66586.0
Montana,1820,nan
Nebraska,1820,nan
Nevada,1820,nan
New Hampshire,1820,244161.0
New Jersey,1820,277575.0
New Mexico,1820,nan
New York,1820,1372812.0
North Carolina,1820,638829.0
North Dakota,1820,nan
Ohio,1820,581434.0
Oklahoma,1820,nan
Oregon,1820,nan
Pennsylvania,1820,1049458.0
Rhode Island,1820,83059.0
South Carolina,1820,502741.0
South Dakota,1820,nan
Tennessee,1820,422813.0
Texas,1820,nan
Utah,1820,nan
Vermont,1820,235764.0
Virginia,1820,938261.0
Washington,1820,nan
West Virginia,1820,136808.0
Wisconsin,1820,nan
Wyoming,1820,nan
Alabama,1824,200551.4
Alaska,1824,nan
Arizona,1824,nan
Arkansas,1824,20719.0
California,1824,nan
Colorado,1824,nan
Connecticut,1824,284191.2
Delaware,1824,74348.6
District of Columbia,1824,26106.0
Florida,1824,nan
Georgia,1824,411322.6
Hawaii,1824,nan
Idaho,1824,nan
Illinois,1824,96104.6
Indiana,1824,225519.2
Iowa,1824,nan
Kansas,1824,nan
Kentucky,1824,613757.0
Louisiana,1824,178339.8
Maine,1824,338783.0
Maryland,1824,423226.0
Massachusetts,1824,558135.4
Michigan,1824,15672.8
Minnesota,1824,nan
Mississippi,1824,99917.2
Missouri,1824,96133.6
Montana,1824,nan
Nebraska,1824,nan
Nevada,1824,nan
New Hampshire,1824,254227.8
New Jersey,1824,294874.2
New Mexico,1824,nan
New York,1824,1591130.4
North Carolina,1824,678492.2
North Dakota,1824,nan
Ohio,1824,724021.6
Oklahoma,1824,nan
Oregon,1824,nan
Pennsylvania,1824,1168968.0
Rhode Island,1824,88715.0
South Carolina,1824,534118.6
South Dakota,1824,nan
Tennessee,1824,526449.4
Texas,1824,nan
Utah,1824,nan
Vermont,1824,253719.2
Virginia,1824,980578.2
Washington,1824,nan
West Virginia,1824,152854.4
Wisconsin,1824,2320.4
Wyoming,1824,nan
Alabama,1828,273201.8
Alaska,1828,nan
Arizona,1828,nan
Arkansas,1828,27165.0
California,1828,nan
Colorado,1828,nan
Connecticut,1828,293180.4
Delaware,1828,75948.2
District of Columbia,1828,28876.0
Florida,1828,nan
Georgia,1828,481656.2
Hawaii,1828,nan
Idaho,1828,nan
Illinois,1828,136998.2
Indiana,1828,303860.4
Iowa,1828,nan
Kansas,1828,nan
Kentucky,1828,663197.0
Louisiana,1828,203272.6
Maine,1828,379231.0
Maryland,1828,439102.0
Massachusetts,1828,592983.8
Michigan,1828,23893.6
Minnesota,1828,nan
Mississippi,1828,124386.4
Missouri,1828,125681.2
Montana,1828,nan
Nebraska,1828,nan
Nevada,1828,nan
New Hampshire,1828,264294.6
New Jersey,1828,312173.4
New Mexico,1828,nan
New York,1828,1809448.8
North Carolina,1828,718155.4
North Dakota,1828,nan
Ohio,1828,866609.2
Oklahoma,1828,nan
Oregon,1828,nan
Pennsylvania,1828,1288478.0
Rhode Island,1828,94371.0
South Carolina,1828,565496.2
South Dakota,1828,nan
Tennessee,1828,630085.8
Texas,1828,nan
Utah,1828,nan
Vermont,1828,271674.4
Virginia,1828,1022895.4
Washington,1828,nan
West Virginia,1828,168900.8
Wisconsin,1828,3196.8
Wyoming,1828,nan
Alabama,1832,365772.8
Alaska,1832,nan
Arizona,1832,nan
Arkansas,1832,43825.2
California,1832,nan
Colorado,1832,nan
Connecticut,1832,300135.6
Delaware,1832,77015.4
District of Columbia,1832,30957.8
Florida,1832,38679.4
Georgia,1832,551736.8
Hawaii,1832,nan
Idaho,1832,nan
Illinois,1832,221192.6
Indiana,1832,411598.0
Iowa,1832,nan
Kansas,1832,nan
Kentucky,1832,706299.2
Louisiana,1832,243073.4
Maine,1832,419922.6
Maryland,1832,451635.8
Massachusetts,1832,635866.2
Michigan,1832,64856.6
Minnesota,1832,nan
Mississippi,1832,184427.0
Missouri,1832,189104.4
Montana,1832,nan
Nebraska,1832,nan
Nevada,1832,nan
New Hampshire,1832,272377.2
New Jersey,1832,331319.6
New Mexico,1832,nan
New York,1832,2020670.6
North Carolina,1832,741073.4
North Dakota,1832,nan
Ohio,1832,1054215.8
Oklahoma,1832,nan
Oregon,1832,nan
Pennsylvania,1832,1423393.0
Rhode Island,1832,99525.2
South Carolina,1832,583827.6
South Dakota,1832,nan
Tennessee,1832,711365.2
Texas,1832,nan
Utah,1832,nan
Vermont,1832,282911.2
Virginia,1832,1040288.6
Washington,1832,nan
West Virginia,1832,186446.6
Wisconsin,1832,9097.0
Wyoming,1832,nan
Alabama,1836,478264.4
Alaska,1836,nan
Arizona,1836,nan
Arkansas,1836,70699.6
California,1836,nan
Colorado,1836,nan
Connecticut,1836,305056.8
Delaware,1836,77550.2
District of Columbia,1836,32351.4
Florida,1836,46578.2
Georgia,1836,621564.4
Hawaii,1836,nan
Idaho,1836,nan
Illinois,1836,348687.8
Indiana,1836,548732.0
Iowa,1836,nan
Kansas,1836,nan
Kentucky,1836,743063.6
Louisiana,1836,297742.2
Maine,1836,460857.8
Maryland,1836,460827.4
Massachusetts,1836,686782.6
Michigan,1836,138561.8
Minnesota,1836,nan
Mississippi,1836,280039.0
Missouri,1836,286403.2
Montana,1836,nan
Nebraska,1836,nan
Nevada,1836,nan
New Hampshire,1836,278475.6
New Jersey,1836,352312.8
New Mexico,1836,nan
New York,1836,2224795.8
North Carolina,1836,747246.2
North Dakota,1836,nan
Ohio,1836,1286841.4
Oklahoma,1836,nan
Oregon,1836,nan
Pennsylvania,1836,1573713.0
Rhode Island,1836,104177.6
South Carolina,1836,589112.8
South Dakota,1836,nan
Tennessee,1836,770287.6
Texas,1836,nan
Utah,1836,nan
Vermont,1836,287429.6
Virginia,1836,1032757.8
Washington,1836,nan
West Virginia,1836,205491.8
Wisconsin,1836,20021.0
Wyoming,1836,nan
Alabama,1840,590756.0
Alaska,1840,nan
Arizona,1840,nan
Arkansas,1840,97574.0
California,1840,nan
Colorado,1840,nan
Connecticut,1840,309978.0
Delaware,1840,78085.0
District of Columbia,1840,33745.0
Florida,1840,54477.0
Georgia,1840,691392.0
Hawaii,1840,nan
Idaho,1840,nan
Illinois,1840,476183.0
Indiana,1840,685866.0
Iowa,1840,nan
Kansas,1840,nan
Kentucky,1840,779828.0
Louisiana,1840,352411.0
Maine,1840,501793.0
Maryland,1840,470019.0
Massachusetts,1840,737699.0
Michigan,1840,212267.0
Minnesota,1840,nan
Mississippi,1840,375651.0
Missouri,1840,383702.0
Montana,1840,nan
Nebraska,1840,nan
Nevada,1840,nan
New Hampshire,1840,284574.0
New Jersey,1840,373306.0
New Mexico,1840,nan
New York,1840,2428921.0
North Carolina,1840,753419.0
North Dakota,1840,nan
Ohio,1840,1519467.0
Oklahoma,1840,nan
Oregon,1840,nan
Pennsylvania,1840,1724033.0
Rhode Island,1840,108830.0
South Carolina,1840,594398.0
South Dakota,1840,nan
Tennessee,1840,829210.0
Texas,1840,nan
Utah,1840,nan
Vermont,1840,291948.0
Virginia,1840,1025227.0
Washington,1840,nan
West Virginia,1840,224537.0
Wisconsin,1840,30945.0
Wyoming,1840,nan
Alabama,1844,663102.8
Alaska,1844,nan
Arizona,1844,nan
Arkansas,1844,142503.2
California,1844,nan
Colorado,1844,nan
Connecticut,1844,334303.6
Delaware,1844,83463.8
District of Columbia,1844,40921.8
Florida,1844,67664.2
Georgia,1844,777309.2
Hawaii,1844,nan
Idaho,1844,nan
Illinois,1844,626297.8
Indiana,1844,806886.0
Iowa,1844,102752.8
Kansas,1844,nan
Kentucky,1844,860858.8
Louisiana,1844,418551.4
Maine,1844,534343.4
Maryland,1844,515225.0
Massachusetts,1844,840425.0
Michigan,1844,286421.8
Minnesota,1844,nan
Mississippi,1844,468001.0
Missouri,1844,503038.8
Montana,1844,nan
Nebraska,1844,nan
Nevada,1844,nan
New Hampshire,1844,297934.8
New Jersey,1844,419805.6
New Mexico,1844,nan
New York,1844,2696310.2
North Carolina,1844,799667.0
North Dakota,1844,nan
Ohio,1844,1703811.8
Oklahoma,1844,nan
Oregon,1844,nan
Pennsylvania,1844,1959134.2
Rhode Island,1844,124316.0
South Carolina,1844,624041.6
South Dakota,1844,nan
Tennessee,1844,898612.8
Texas,1844,nan
Utah,1844,nan
Vermont,1844,300816.8
Virginia,1844,1062875.4
Washington,1844,nan
West Virginia,1844,255647.4
Wisconsin,1844,140723.4
Wyoming,1844,nan
Alabama,1848,735449.6
Alaska,1848,nan
Arizona,1848,nan
Arkansas,1848,187432.4
California,1848,nan
Colorado,1848,nan
Connecticut,1848,358629.2
Delaware,1848,88842.6
District of Columbia,1848,48098.6
Florida,1848,80851.4
Georgia,1848,863226.4
Hawaii,1848,nan
Idaho,1848,nan
Illinois,1848,776412.6
Indiana,1848,927906.0
Iowa,1848,162393.6
Kansas,1848,nan
Kentucky,1848,941889.6
Louisiana,1848,484691.8
Maine,1848,566893.8
Maryland,1848,560431.0
Massachusetts,1848,943151.0
Michigan,1848,360576.6
Minnesota,1848,nan
Mississippi,1848,560351.0
Missouri,1848,622375.6
Montana,1848,nan
Nebraska,1848,nan
Nevada,1848,nan
New Hampshire,1848,311295.6
New Jersey,1848,466305.2
New Mexico,1848,nan
New York,1848,2963699.4
North Carolina,1848,845915.0
North Dakota,1848,nan
Ohio,1848,1888156.6
Oklahoma,1848,nan
Oregon,1848,nan
Pennsylvania,1848,2194235.4
Rhode Island,1848,139802.0
South Carolina,1848,653685.2
South Dakota,1848,nan
Tennessee,1848,968015.6
Texas,1848,nan
Utah,1848,nan
Vermont,1848,309685.6
Virginia,1848,1100523.8
Washington,1848,nan
West Virginia,1848,286757.8
Wisconsin,1848,250501.8
Wyoming,1848,nan
Alabama,1852,810138.6
Alaska,1852,nan
Arizona,1852,nan
Arkansas,1852,255007.6
California,1852,150076.4
Colorado,1852,nan
Connecticut,1852,388663.0
Delaware,1852,95668.8
District of Columbia,1852,56365.6
Florida,1852,98040.8
Georgia,1852,936405.2
Hawaii,1852,nan
Idaho,1852,nan
Illinois,1852,1023566.2
Indiana,1852,1060818.4
Iowa,1852,288753.8
Kansas,1852,nan
Kentucky,1852,1017060.8
Louisiana,1852,555810.0
Maine,1852,592191.0
Maryland,1852,603837.0
Massachusetts,1852,1041824.4
Michigan,1852,467945.8
Minnesota,1852,39266.2
Mississippi,1852,643481.8
Missouri,1852,782037.6
Montana,1852,nan
Nebraska,1852,nan
Nevada,1852,nan
New Hampshire,1852,319595.4
New Jersey,1852,526051.0
New Mexico,1852,66644.4
New York,1852,3254062.2
North Carolina,1852,893755.6
North Dakota,1852,nan
Ohio,1852,2052165.4
Oklahoma,1852,nan
Oregon,1852,20167.4
Pennsylvania,1852,2430671.8
Rhode Island,1852,152960.0
South Carolina,1852,675547.2
South Dakota,1852,nan
Tennessee,1852,1024133.8
Texas,1852,290916.6
Utah,1852,17158.6
Vermont,1852,314315.6
Virginia,1852,1139404.4
Washington,1852,3279.6
West Virginia,1852,317188.0
Wisconsin,1852,399489.0
Wyoming,1852,nan
Alabama,1856,887169.8
Alaska,1856,nan
Arizona,1856,nan
Arkansas,1856,345228.8
California,1856,265035.2
Colorado,1856,nan
Connecticut,1856,424405.0
Delaware,1856,103942.4
District of Columbia,1856,65722.8
Florida,1856,119232.4
Georgia,1856,996845.6
Hawaii,1856,nan
Idaho,1856,nan
Illinois,1856,1367758.6
Indiana,1856,1205623.2
Iowa,1856,481833.4
Kansas,1856,nan
Kentucky,1856,1086372.4
Louisiana,1856,631906.0
Maine,1856,610235.0
Maryland,1856,645443.0
Massachusetts,1856,1136445.2
Michigan,1856,608529.4
Minnesota,1856,105644.59999999999
Mississippi,1856,717393.4
Missouri,1856,982024.8
Montana,1856,nan
Nebraska,1856,nan
Nevada,1856,nan
New Hampshire,1856,322834.2
New Jersey,1856,599043.0
New Mexico,1856,76839.2
New York,1856,3567398.6
North Carolina,1856,943188.8
North Dakota,1856,nan
Ohio,1856,2195838.2
Oklahoma,1856,nan
Oregon,1856,36316.2
Pennsylvania,1856,2668443.4
Rhode Island,1856,163790.0
South Carolina,1856,689627.6
South Dakota,1856,nan
Tennessee,1856,1066967.4
Texas,1856,447565.80000000005
Utah,1856,28715.800000000003
Vermont,1856,314706.8
Virginia,1856,1179517.2
Washington,1856,7436.799999999999
West Virginia,1856,346938.0
Wisconsin,1856,587685.0
Wyoming,1856,nan
Alabama,1860,964201.0
Alaska,1860,nan
Arizona,1860,nan
Arkansas,1860,435450.0
California,1860,379994.0
Colorado,1860,nan
Connecticut,1860,460147.0
Delaware,1860,112216.0
District of Columbia,1860,75080.0
Florida,1860,140424.0
Georgia,1860,1057286.0
Hawaii,1860,nan
Idaho,1860,nan
Illinois,1860,1711951.0
Indiana,1860,1350428.0
Iowa,1860,674913.0
Kansas,1860,nan
Kentucky,1860,1155684.0
Louisiana,1860,708002.0
Maine,1860,628279.0
Maryland,1860,687049.0
Massachusetts,1860,1231066.0
Michigan,1860,749113.0
Minnesota,1860,172023.0
Mississippi,1860,791305.0
Missouri,1860,1182012.0
Montana,1860,nan
Nebraska,1860,nan
Nevada,1860,nan
New Hampshire,1860,326073.0
New Jersey,1860,672035.0
New Mexico,1860,87034.0
New York,1860,3880735.0
North Carolina,1860,992622.0
North Dakota,1860,nan
Ohio,1860,2339511.0
Oklahoma,1860,nan
Oregon,1860,52465.0
Pennsylvania,1860,2906215.0
Rhode Island,1860,174620.0
South Carolina,1860,703708.0
South Dakota,1860,nan
Tennessee,1860,1109801.0
Texas,1860,604215.0
Utah,1860,40273.0
Vermont,1860,315098.0
Virginia,1860,1219630.0
Washington,1860,11594.0
West Virginia,1860,376688.0
Wisconsin,1860,775881.0
Wyoming,1860,nan
Alabama,1864,977317.4
Alaska,1864,nan
Arizona,1864,nan
Arkansas,1864,455058.4
California,1864,452095.2
Colorado,1864,36511.8
Connecticut,1864,491069.8
Delaware,1864,117335.6
District of Columbia,1864,97728.0
Florida,1864,159353.6
Georgia,1864,1108015.2
Hawaii,1864,nan
Idaho,1864,nan
Illinois,1864,2043127.0
Indiana,1864,1482511.6
Iowa,1864,882555.8
Kansas,1864,210083.2
Kentucky,1864,1221814.8
Louisiana,1864,715567.2
Maine,1864,627733.4
Maryland,1864,724587.0
Massachusetts,1864,1321580.0
Michigan,1864,923091.4
Minnesota,1864,279096.2
Mississippi,1864,805951.8
Missouri,1864,1397725.2
Montana,1864,nan
Nebraska,1864,66501.8
Nevada,1864,21110.6
New Hampshire,1864,322963.8
New Jersey,1864,765659.4
New Mexico,1864,88970.0
New York,1864,4081544.6
North Carolina,1864,1024117.6
North Dakota,1864,nan
Ohio,1864,2469810.6
Oklahoma,1864,nan
Oregon,1864,67848.2
Pennsylvania,1864,3152509.4
Rhode Island,1864,191713.2
South Carolina,1864,704467.2
South Dakota,1864,7612.6
Tennessee,1864,1169288.6
Texas,1864,689960.6
Utah,1864,58698.2
Vermont,1864,321279.2
Virginia,1864,1221843.2
Washington,1864,16538.4
West Virginia,1864,402818.4
Wisconsin,1864,887396.6
Wyoming,1864,nan
Alabama,1868,990433.8
Alaska,1868,nan
Arizona,1868,nan
Arkansas,1868,474666.8
California,1868,524196.4
Colorado,1868,38746.6
Connecticut,1868,521992.6
Delaware,1868,122455.2
District of Columbia,1868,120376.0
Florida,1868,178283.2
Georgia,1868,1158744.4
Hawaii,1868,nan
Idaho,1868,nan
Illinois,1868,2374303.0
Indiana,1868,1614595.2
Iowa,1868,1090198.6
Kansas,1868,312960.4
Kentucky,1868,1287945.6
Louisiana,1868,723132.4
Maine,1868,627187.8
Maryland,1868,762125.0
Massachusetts,1868,1412094.0
Michigan,1868,1097069.8
Minnesota,1868,386169.4
Mississippi,1868,820598.6
Missouri,1868,1613438.4
Montana,1868,nan
Nebraska,1868,104162.6
Nevada,1868,35364.2
New Hampshire,1868,319854.6
New Jersey,1868,859283.8
New Mexico,1868,90906.0
New York,1868,4282354.2
North Carolina,1868,1055613.2
North Dakota,1868,nan
Ohio,1868,2600110.2
Oklahoma,1868,nan
Oregon,1868,83231.4
Pennsylvania,1868,3398803.8
Rhode Island,1868,208806.4
South Carolina,1868,705226.4
South Dakota,1868,10388.2
Tennessee,1868,1228776.2
Texas,1868,775706.2
Utah,1868,77123.4
Vermont,1868,327460.4
Virginia,1868,1224056.4
Washington,1868,21482.8
West Virginia,1868,428948.8
Wisconsin,1868,998912.2
Wyoming,1868,nan
Alabama,1872,1050094.6
Alaska,1872,nan
Arizona,1872,15814.4
Arkansas,1872,548081.8
California,1872,621136.4
Colorado,1872,70756.6
Connecticut,1872,554503.2
Delaware,1872,129333.6
District of Columbia,1872,140884.8
Florida,1872,204097.0
Georgia,1872,1255723.2
Hawaii,1872,nan
Idaho,1872,18521.2
Illinois,1872,2647487.0
Indiana,1872,1740169.8
Iowa,1872,1280139.0
Kansas,1872,490738.4
Kentucky,1872,1386546.8
Louisiana,1872,769521.2
Maine,1872,631319.2
Maryland,1872,811703.8
Massachusetts,1872,1522497.8
Michigan,1872,1274634.6
Minnesota,1872,507919.4
Mississippi,1872,888657.0
Missouri,1872,1810712.0
Montana,1872,24307.8
Nebraska,1872,188874.8
Nevada,1872,46446.0
New Hampshire,1872,324038.2
New Jersey,1872,951100.0
